Capital,Cca3,Continent,Country,Territory,Year,2022Population,ConsumptionValue,Rank
Nursultan,KAZ,Asia,Kazakhstan,Kazakhstan,2018,19397998,170,66
Nursultan,KAZ,Asia,Kazakhstan,Kazakhstan,2019,19397998,250,66
Nursultan,KAZ,Asia,Kazakhstan,Kazakhstan,2020,19397998,280,66
Nursultan,KAZ,Asia,Kazakhstan,Kazakhstan,2021,19397998,320,66
Nursultan,KAZ,Asia,Kazakhstan,Kazakhstan,2022,19397998,360,66
Guatemala City,GTM,North America,Guatemala,Guatemala,2018,17843908,230,68
Guatemala City,GTM,North America,Guatemala,Guatemala,2019,17843908,250,68
Guatemala City,GTM,North America,Guatemala,Guatemala,2020,17843908,260,68
Guatemala City,GTM,North America,Guatemala,Guatemala,2021,17843908,270,68
Guatemala City,GTM,North America,Guatemala,Guatemala,2022,17843908,280,68
Islamabad,PAK,Asia,Pakistan,Pakistan,2018,235824862,190,5
Islamabad,PAK,Asia,Pakistan,Pakistan,2019,235824862,200,5
Islamabad,PAK,Asia,Pakistan,Pakistan,2020,235824862,220,5
Islamabad,PAK,Asia,Pakistan,Pakistan,2021,235824862,230,5
Islamabad,PAK,Asia,Pakistan,Pakistan,2022,235824862,240,5
Tashkent,UZB,Asia,Uzbekistan,Uzbekistan,2018,34627652,170,43
Tashkent,UZB,Asia,Uzbekistan,Uzbekistan,2019,34627652,210,43
Tashkent,UZB,Asia,Uzbekistan,Uzbekistan,2020,34627652,210,43
Tashkent,UZB,Asia,Uzbekistan,Uzbekistan,2021,34627652,210,43
Tashkent,UZB,Asia,Uzbekistan,Uzbekistan,2022,34627652,210,43
Ottawa,CAN,North America,Canada,Canada,2018,38454327,190,39
Ottawa,CAN,North America,Canada,Canada,2019,38454327,190,39
Ottawa,CAN,North America,Canada,Canada,2020,38454327,190,39
Ottawa,CAN,North America,Canada,Canada,2021,38454327,200,39
Ottawa,CAN,North America,Canada,Canada,2022,38454327,200,39
Colombo,LKA,Asia,Sri Lanka,Sri Lanka,2018,21832143,170,61
Colombo,LKA,Asia,Sri Lanka,Sri Lanka,2019,21832143,180,61
Colombo,LKA,Asia,Sri Lanka,Sri Lanka,2020,21832143,180,61
Colombo,LKA,Asia,Sri Lanka,Sri Lanka,2021,21832143,190,61
Colombo,LKA,Asia,Sri Lanka,Sri Lanka,2022,21832143,200,61
Lima,PER,South America,Peru,Peru,2018,34049588,160,44
Lima,PER,South America,Peru,Peru,2019,34049588,160,44
Lima,PER,South America,Peru,Peru,2020,34049588,160,44
Lima,PER,South America,Peru,Peru,2021,34049588,170,44
Lima,PER,South America,Peru,Peru,2022,34049588,170,44
Addis Ababa,ETH,Africa,Ethiopia,Ethiopia,2018,123379924,80,12
Addis Ababa,ETH,Africa,Ethiopia,Ethiopia,2019,123379924,80,12
Addis Ababa,ETH,Africa,Ethiopia,Ethiopia,2020,123379924,120,12
Addis Ababa,ETH,Africa,Ethiopia,Ethiopia,2021,123379924,130,12
Addis Ababa,ETH,Africa,Ethiopia,Ethiopia,2022,123379924,140,12
Singapore,SGP,Asia,Singapore,Singapore,2018,5975689,130,113
Singapore,SGP,Asia,Singapore,Singapore,2019,5975689,130,113
Singapore,SGP,Asia,Singapore,Singapore,2020,5975689,160,113
